Linux 6.8.0-137-generic (dellr470) 	09/03/2026 	_x86_64_	(128 CPU)

05:01:23 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:01:43 PM   27   29.20    0.00    3.12    0.00    0.00    0.30    0.00    0.00    0.00   67.37
05:01:43 PM   28   27.21    0.00    3.01    0.00    0.00    0.20    0.00    0.00    0.00   69.58
05:01:43 PM   29   19.66    0.00    2.72    0.00    0.00    0.30    0.00    0.00    0.00   77.32
05:01:43 PM   30   27.72    0.00    2.92    0.00    0.00    0.20    0.00    0.00    0.00   69.15
05:01:43 PM   31   34.07    0.00    4.04    0.00    0.00    0.30    0.00    0.00    0.00   61.58
05:01:43 PM   32   24.75    0.00    2.63    0.00    0.00    0.10    0.00    0.00    0.00   72.53
05:01:43 PM   33   60.14    0.00    0.30    0.00    0.00    0.00    0.00    0.00    0.00   39.56
05:01:43 PM   34   23.46    0.00    2.73    0.00    0.00    0.30    0.00    0.00    0.00   73.51
05:01:43 PM   35   99.90    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.10
05:01:43 PM   36   26.61    0.00    2.62    0.00    0.00    0.10    0.00    0.00    0.00   70.67
05:01:43 PM   37   99.90    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.10
05:01:43 PM   38   39.48    0.00    3.22    0.00    0.00    0.10    0.00    0.00    0.00   57.20
05:01:43 PM   39   68.84    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   31.06
05:01:43 PM   40   23.11    0.00    2.42    0.00    0.00    0.30    0.00    0.00    0.00   74.17
05:01:43 PM   41   99.90    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.10
05:01:43 PM   42   26.46    0.00    2.41    0.00    0.00    0.20    0.00    0.00    0.00   70.93
05:01:43 PM   43   93.01    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00    6.89
05:01:43 PM   44   43.72    0.00    4.62    0.00    0.00    0.30    0.00    0.00    0.00   51.36
05:01:43 PM   45   78.70    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   21.20
05:01:43 PM   46   31.19    0.00    3.02    0.00    0.00    0.20    0.00    0.00    0.00   65.59
05:01:43 PM   47   49.60    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   49.90
05:01:43 PM   48   24.52    0.00    3.72    0.00    0.00    0.30    0.00    0.00    0.00   71.46
05:01:43 PM   49   87.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   13.00
05:01:43 PM   50   26.36    0.00    1.81    0.00    0.00    0.10    0.00    0.00    0.00   71.73
05:01:43 PM   51   84.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   15.02
05:01:43 PM   52   35.41    0.00    3.32    0.00    0.00    0.10    0.00    0.00    0.00   61.17
05:01:43 PM   53   78.18    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   21.62
05:01:43 PM   54   33.17    0.00    3.32    0.00    0.00    0.20    0.00    0.00    0.00   63.32
05:01:43 PM   55   72.29    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   27.51
05:01:43 PM   56   39.58    0.00    3.93    0.00    0.00    0.10    0.00    0.00    0.00   56.39
05:01:43 PM   57   35.57    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   64.03
05:01:43 PM   58   29.05    0.00    3.02    0.00    0.00    0.10    0.00    0.00    0.00   67.84
05:01:43 PM   59   99.90    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.10
05:01:43 PM   60   99.90    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.10
05:01:43 PM   61   28.14    0.00    2.81    0.00    0.00    0.40    0.00    0.00    0.00   68.64
05:01:43 PM   62   37.64    0.00    4.04    0.00    0.00    0.10    0.00    0.00    0.00   58.22
05:01:43 PM   63   74.67    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   25.23
05:01:43 PM   64   19.82    0.00    3.64    0.00    0.00    0.30    0.00    0.00    0.00   76.24
05:01:43 PM   65   38.45    0.00    3.21    0.00    0.00    0.10    0.00    0.00    0.00   58.23
05:01:43 PM   66   17.54    0.00    1.71    0.00    0.00    0.20    0.00    0.00    0.00   80.54
05:01:43 PM   67   18.55    0.00    1.92    0.00    0.00    0.10    0.00    0.00    0.00   79.44
05:01:43 PM   68   28.57    0.00    3.92    0.00    0.00    0.20    0.00    0.00    0.00   67.30
05:01:43 PM   69   33.67    0.00    4.22    0.00    0.00    0.10    0.00    0.00    0.00   62.01
05:01:43 PM   70   21.29    0.00    3.43    0.00    0.00    0.10    0.00    0.00    0.00   75.18
05:01:43 PM   71   17.51    0.00    1.62    0.00    0.00    0.20    0.00    0.00    0.00   80.67
05:01:43 PM   72   26.24    0.00    2.42    0.00    0.00    0.10    0.00    0.00    0.00   71.24
05:01:43 PM   73   38.67    0.00    4.23    0.00    0.00    0.10    0.00    0.00    0.00   57.00
05:01:43 PM   74   33.70    0.00    4.11    0.00    0.00    0.10    0.00    0.00    0.00   62.09
05:01:43 PM   75   26.18    0.00    2.82    0.00    0.00    0.20    0.00    0.00    0.00   70.80
05:01:43 PM   76   28.28    0.00    4.14    0.00    0.00    0.20    0.00    0.00    0.00   67.37
05:01:43 PM   77   30.61    0.00    3.43    0.00    0.00    0.10    0.00    0.00    0.00   65.86
05:01:43 PM   78   12.51    0.00    1.51    0.00    0.00    0.10    0.00    0.00    0.00   85.87
05:01:43 PM   79   23.77    0.00    3.63    0.00    0.00    0.20    0.00    0.00    0.00   72.41
05:01:43 PM   80   20.24    0.00    2.01    0.10    0.00    0.40    0.00    0.00    0.00   77.24
05:01:43 PM   81   26.66    0.00    3.12    0.00    0.00    0.20    0.00    0.00    0.00   70.02
05:01:43 PM   82   20.91    0.00    3.84    0.00    0.00    0.20    0.00    0.00    0.00   75.05
05:01:43 PM   83   34.64    0.00    3.31    0.00    0.00    0.30    0.00    0.00    0.00   61.75
05:01:43 PM   84   31.38    0.00    4.34    0.00    0.00    0.40    0.00    0.00    0.00   63.87
05:01:43 PM   85   35.58    0.00    4.12    0.00    0.00    0.20    0.00    0.00    0.00   60.10
05:01:43 PM   86   29.90    0.00    3.54    0.00    0.00    0.00    0.00    0.00    0.00   66.57
05:01:43 PM   87   18.26    0.00    2.62    0.00    0.00    0.20    0.00    0.00    0.00   78.91
05:01:43 PM   88   31.31    0.00    2.53    0.00    0.00    0.20    0.00    0.00    0.00   65.96
05:01:43 PM   89   29.13    0.00    4.84    0.00    0.00    0.20    0.00    0.00    0.00   65.83
05:01:43 PM   90   20.46    0.00    2.82    0.00    0.00    0.20    0.00    0.00    0.00   76.51
05:01:43 PM   91   27.21    0.00    4.42    0.00    0.00    0.20    0.00    0.00    0.00   68.17
